case_id,variant,generator_mode,run_id,profile,rhythmic_diversity_score,dotted_rhythm_presence_rate,eighth_note_presence_rate,sixteenth_note_presence_rate,rest_variety_score,quarter_note_dominance_penalty,melodic_range_score,motif_recurrence_score,cadence_presence_score,accompaniment_presence_rate,left_hand_activity_score,texture_variety_score,dynamic_contrast_score,overall_musicality_proxy_score
romantic_dotted_left_hand,v0_8_generator,hybrid_v05_no_postprocess,20260702_125538_217754_555c3b6f,"{""style"": ""romantic"", ""base_style"": ""romantic"", ""custom_style_tags"": [], ""style_profile"": {}, ""difficulty"": ""advanced"", ""meter"": ""4/4"", ""key"": ""C major"", ""length_measures"": 8, ""rhythmic_density"": ""high"", ""syncopation"": ""low"", ""texture"": ""arpeggiated"", ""accompaniment_style"": ""arpeggiated_chords"", ""harmony_flavor"": ""diatonic"", ""cadence_strength"": ""clear"", ""dynamic_contrast"": ""medium"", ""register_bias"": ""middle"", ""timbre_hint"": """", ""requires_accompaniment"": true, ""requires_dotted_rhythm"": true, ""requires_cadence"": true, ""min_rhythmic_variety"": 3, ""min_pitch_range"": 7, ""max_consecutive_quarters"": 3, ""max_repeated_rhythm_measures"": 2, ""variation_seed"": ""6489033659665288925"", ""variation_index"": 0, ""run_seed"": 6489033659665288925, ""seed_source"": ""backend_auto"", ""variant_id"": ""variant_d603da908f"", ""generation_nonce"": ""9f2caa85fee64dcd88178b6505d1211e""}",1.0,1.0,1.0,0.0,0.3333,0.21,1.0,0.9612,1.0,1.0,1.0,0.3333,0.3333,0.7533
romantic_dotted_left_hand,v0_9_rule_based_musicality,rule_based,20260702_125538_334095_555c3b6f,"{""style"": ""romantic"", ""base_style"": ""romantic"", ""custom_style_tags"": [], ""style_profile"": {}, ""difficulty"": ""advanced"", ""meter"": ""4/4"", ""key"": ""C major"", ""length_measures"": 8, ""rhythmic_density"": ""high"", ""syncopation"": ""low"", ""texture"": ""arpeggiated"", ""accompaniment_style"": ""arpeggiated_chords"", ""harmony_flavor"": ""diatonic"", ""cadence_strength"": ""clear"", ""dynamic_contrast"": ""medium"", ""register_bias"": ""middle"", ""timbre_hint"": """", ""requires_accompaniment"": true, ""requires_dotted_rhythm"": true, ""requires_cadence"": true, ""min_rhythmic_variety"": 3, ""min_pitch_range"": 7, ""max_consecutive_quarters"": 3, ""max_repeated_rhythm_measures"": 2, ""variation_seed"": ""6499941401605787554"", ""variation_index"": 0, ""run_seed"": 6499941401605787554, ""seed_source"": ""backend_auto"", ""variant_id"": ""variant_47e17da8c0"", ""generation_nonce"": ""757d284dbe6b4040926f5d5824b3672f""}",0.8,1.0,1.0,0.0,0.0,0.1919,1.0,0.8266,1.0,1.0,1.0,0.3333,0.3333,0.7087
romantic_dotted_left_hand,v0_9_hybrid_musicality,hybrid_v05,20260702_125549_965994_555c3b6f,"{""style"": ""romantic"", ""base_style"": ""romantic"", ""custom_style_tags"": [], ""style_profile"": {}, ""difficulty"": ""advanced"", ""meter"": ""4/4"", ""key"": ""C major"", ""length_measures"": 8, ""rhythmic_density"": ""high"", ""syncopation"": ""low"", ""texture"": ""arpeggiated"", ""accompaniment_style"": ""arpeggiated_chords"", ""harmony_flavor"": ""diatonic"", ""cadence_strength"": ""clear"", ""dynamic_contrast"": ""medium"", ""register_bias"": ""middle"", ""timbre_hint"": """", ""requires_accompaniment"": true, ""requires_dotted_rhythm"": true, ""requires_cadence"": true, ""min_rhythmic_variety"": 3, ""min_pitch_range"": 7, ""max_consecutive_quarters"": 3, ""max_repeated_rhythm_measures"": 2, ""variation_seed"": ""8868239291189849963"", ""variation_index"": 0, ""run_seed"": 8868239291189849963, ""seed_source"": ""backend_auto"", ""variant_id"": ""variant_93429413ef"", ""generation_nonce"": ""27015cae2b31456881ff8ee82c0b7f31""}",1.0,0.0,1.0,0.0,0.6667,0.2323,1.0,0.9628,1.0,1.0,1.0,0.3333,0.3333,0.7028
romantic_dotted_left_hand,v0_9_postprocessed_model_output,model,20260702_125550_959424_555c3b6f,"{""style"": ""romantic"", ""base_style"": ""romantic"", ""custom_style_tags"": [], ""style_profile"": {}, ""difficulty"": ""advanced"", ""meter"": ""4/4"", ""key"": ""C major"", ""length_measures"": 8, ""rhythmic_density"": ""high"", ""syncopation"": ""low"", ""texture"": ""arpeggiated"", ""accompaniment_style"": ""arpeggiated_chords"", ""harmony_flavor"": ""diatonic"", ""cadence_strength"": ""clear"", ""dynamic_contrast"": ""medium"", ""register_bias"": ""middle"", ""timbre_hint"": """", ""requires_accompaniment"": true, ""requires_dotted_rhythm"": true, ""requires_cadence"": true, ""min_rhythmic_variety"": 3, ""min_pitch_range"": 7, ""max_consecutive_quarters"": 3, ""max_repeated_rhythm_measures"": 2, ""variation_seed"": ""8822761154290667519"", ""variation_index"": 0, ""run_seed"": 8822761154290667519, ""seed_source"": ""backend_auto"", ""variant_id"": ""variant_27f98bdea7"", ""generation_nonce"": ""6c8f5df901ed44fc973d4d83a65bba84""}",1.0,0.0,1.0,1.0,0.6667,0.2245,1.0,0.8924,1.0,1.0,1.0,0.3333,0.3333,0.7698
beginner_clear_cadence,v0_8_generator,hybrid_v05_no_postprocess,20260702_125601_361568_44af54f3,"{""style"": ""classical"", ""base_style"": ""classical"", ""custom_style_tags"": [], ""style_profile"": {}, ""difficulty"": ""beginner"", ""meter"": ""4/4"", ""key"": ""C major"", ""length_measures"": 8, ""rhythmic_density"": ""medium"", ""syncopation"": ""low"", ""texture"": ""melody_accompaniment"", ""accompaniment_style"": ""sparse_beginner_bass"", ""harmony_flavor"": ""diatonic"", ""cadence_strength"": ""clear"", ""dynamic_contrast"": ""medium"", ""register_bias"": ""middle"", ""timbre_hint"": """", ""requires_accompaniment"": true, ""requires_dotted_rhythm"": true, ""requires_cadence"": true, ""min_rhythmic_variety"": 3, ""min_pitch_range"": 5, ""max_consecutive_quarters"": 4, ""max_repeated_rhythm_measures"": 2, ""variation_seed"": ""7464006486038758371"", ""variation_index"": 0, ""run_seed"": 7464006486038758371, ""seed_source"": ""backend_auto"", ""variant_id"": ""variant_b5602d5180"", ""generation_nonce"": ""99b2f4d624424de498b06e077763b559""}",0.6,0.0,1.0,0.0,0.0,0.42,1.0,0.4804,1.0,1.0,1.0,0.6667,0.3333,0.5885
beginner_clear_cadence,v0_9_rule_based_musicality,rule_based,20260702_125601_468176_44af54f3,"{""style"": ""classical"", ""base_style"": ""classical"", ""custom_style_tags"": [], ""style_profile"": {}, ""difficulty"": ""beginner"", ""meter"": ""4/4"", ""key"": ""C major"", ""length_measures"": 8, ""rhythmic_density"": ""medium"", ""syncopation"": ""low"", ""texture"": ""melody_accompaniment"", ""accompaniment_style"": ""sparse_beginner_bass"", ""harmony_flavor"": ""diatonic"", ""cadence_strength"": ""clear"", ""dynamic_contrast"": ""medium"", ""register_bias"": ""middle"", ""timbre_hint"": """", ""requires_accompaniment"": true, ""requires_dotted_rhythm"": true, ""requires_cadence"": true, ""min_rhythmic_variety"": 3, ""min_pitch_range"": 5, ""max_consecutive_quarters"": 4, ""max_repeated_rhythm_measures"": 2, ""variation_seed"": ""6061975997322552634"", ""variation_index"": 0, ""run_seed"": 6061975997322552634, ""seed_source"": ""backend_auto"", ""variant_id"": ""variant_e24d81af50"", ""generation_nonce"": ""94142a12d0554e88bc6f4f36ba55d038""}",1.0,1.0,1.0,0.0,0.6667,0.4118,1.0,0.3917,1.0,1.0,1.0,0.6667,0.3333,0.7299
beginner_clear_cadence,v0_9_hybrid_musicality,hybrid_v05,20260702_125613_194591_44af54f3,"{""style"": ""classical"", ""base_style"": ""classical"", ""custom_style_tags"": [], ""style_profile"": {}, ""difficulty"": ""beginner"", ""meter"": ""4/4"", ""key"": ""C major"", ""length_measures"": 8, ""rhythmic_density"": ""medium"", ""syncopation"": ""low"", ""texture"": ""melody_accompaniment"", ""accompaniment_style"": ""sparse_beginner_bass"", ""harmony_flavor"": ""diatonic"", ""cadence_strength"": ""clear"", ""dynamic_contrast"": ""medium"", ""register_bias"": ""middle"", ""timbre_hint"": """", ""requires_accompaniment"": true, ""requires_dotted_rhythm"": true, ""requires_cadence"": true, ""min_rhythmic_variety"": 3, ""min_pitch_range"": 5, ""max_consecutive_quarters"": 4, ""max_repeated_rhythm_measures"": 2, ""variation_seed"": ""7390458668252222981"", ""variation_index"": 0, ""run_seed"": 7390458668252222981, ""seed_source"": ""backend_auto"", ""variant_id"": ""variant_1efe5fe4d7"", ""generation_nonce"": ""26a7874f402b43fba5275e1b0c82ad24""}",0.8,0.0,1.0,0.0,0.3333,0.451,1.0,0.3578,1.0,1.0,1.0,0.6667,0.3333,0.613
beginner_clear_cadence,v0_9_postprocessed_model_output,model,20260702_125618_154186_44af54f3,"{""style"": ""classical"", ""base_style"": ""classical"", ""custom_style_tags"": [], ""style_profile"": {}, ""difficulty"": ""beginner"", ""meter"": ""4/4"", ""key"": ""C major"", ""length_measures"": 8, ""rhythmic_density"": ""medium"", ""syncopation"": ""low"", ""texture"": ""melody_accompaniment"", ""accompaniment_style"": ""sparse_beginner_bass"", ""harmony_flavor"": ""diatonic"", ""cadence_strength"": ""clear"", ""dynamic_contrast"": ""medium"", ""register_bias"": ""middle"", ""timbre_hint"": """", ""requires_accompaniment"": true, ""requires_dotted_rhythm"": true, ""requires_cadence"": true, ""min_rhythmic_variety"": 3, ""min_pitch_range"": 5, ""max_consecutive_quarters"": 4, ""max_repeated_rhythm_measures"": 2, ""variation_seed"": ""870409657613428139"", ""variation_index"": 0, ""run_seed"": 870409657613428139, ""seed_source"": ""backend_auto"", ""variant_id"": ""variant_b5553e6003"", ""generation_nonce"": ""06ac22b445f64df398825ae668f16f3f""}",0.6,0.0,1.0,0.0,0.0,0.449,1.0,0.7672,1.0,1.0,1.0,0.6667,0.3333,0.6045
waltz_bass,v0_8_generator,hybrid_v05_no_postprocess,20260702_125628_759213_e85d4847,"{""style"": ""classical"", ""base_style"": ""classical"", ""custom_style_tags"": [], ""style_profile"": {}, ""difficulty"": ""intermediate"", ""meter"": ""3/4"", ""key"": ""C major"", ""length_measures"": 8, ""rhythmic_density"": ""medium"", ""syncopation"": ""low"", ""texture"": ""waltz"", ""accompaniment_style"": ""waltz_bass"", ""harmony_flavor"": ""diatonic"", ""cadence_strength"": ""clear"", ""dynamic_contrast"": ""medium"", ""register_bias"": ""middle"", ""timbre_hint"": """", ""requires_accompaniment"": true, ""requires_dotted_rhythm"": true, ""requires_cadence"": true, ""min_rhythmic_variety"": 3, ""min_pitch_range"": 7, ""max_consecutive_quarters"": 3, ""max_repeated_rhythm_measures"": 2, ""variation_seed"": ""68152623372674426"", ""variation_index"": 0, ""run_seed"": 68152623372674426, ""seed_source"": ""backend_auto"", ""variant_id"": ""variant_51010e07bf"", ""generation_nonce"": ""532d69e7d3e446b1909d03f62d81fb52""}",1.0,1.0,1.0,0.0,0.3333,0.875,1.0,0.7908,1.0,1.0,1.0,0.3333,0.3333,0.6414
waltz_bass,v0_9_rule_based_musicality,rule_based,20260702_125628_886734_e85d4847,"{""style"": ""classical"", ""base_style"": ""classical"", ""custom_style_tags"": [], ""style_profile"": {}, ""difficulty"": ""intermediate"", ""meter"": ""3/4"", ""key"": ""C major"", ""length_measures"": 8, ""rhythmic_density"": ""medium"", ""syncopation"": ""low"", ""texture"": ""waltz"", ""accompaniment_style"": ""waltz_bass"", ""harmony_flavor"": ""diatonic"", ""cadence_strength"": ""clear"", ""dynamic_contrast"": ""medium"", ""register_bias"": ""middle"", ""timbre_hint"": """", ""requires_accompaniment"": true, ""requires_dotted_rhythm"": true, ""requires_cadence"": true, ""min_rhythmic_variety"": 3, ""min_pitch_range"": 7, ""max_consecutive_quarters"": 3, ""max_repeated_rhythm_measures"": 2, ""variation_seed"": ""6421854994345838187"", ""variation_index"": 0, ""run_seed"": 6421854994345838187, ""seed_source"": ""backend_auto"", ""variant_id"": ""variant_a75938f2f7"", ""generation_nonce"": ""2bd5b02bf71f4ee2ab159991d33573ff""}",0.8,1.0,1.0,0.0,0.0,0.8571,1.0,0.9477,1.0,1.0,1.0,0.3333,0.3333,0.6174
