category,complete_preservation,condition,constraint_errors,constraint_satisfaction,constraint_total,constraints_satisfied,correct_refusal,element_change_precision,error,error_codes,estimated_cost,expected_status,generation_status,generator_model,generator_provider,host_export_valid,input_tokens,language,latency_ms,musicxml_validity,non_target_preservation,operation_minimality,output_produced,output_tokens,patch_fingerprint,patch_parse,post_fingerprint,preview_valid,processing_latency_ms,provider_latency_ms,raw_output_path,refused,repair_added_cost,repair_attempt_count,repair_attempted,repair_success,repetition,routing,run_id,scope_stress_applied,scope_stress_extra_measures,semantic_patch_fingerprint,task_id,task_success,transaction_valid,unsafe_execution
conflicting_or_unsupported,1,interactive_runtime_acceptance,,1.0,1,1,1,1.0,,,0.0,refuse,refused,seraedit_rule_v1,local_rule,0,0,en,0.45529999988502823,,1.0,1.0,0,0,74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b,0,refused,0,0.45529999988502823,0.0,experiments/runtime_acceptance_host_roundtrip_scope_v2_20260826/raw_outputs/conflict_001__en__r1.json,1,0,0,0,0,1,local_first,conflict_001:en:r1,1,2,d07935fefb9eb378b16d51bcd1510040077a17127c632f31657c65ebe9093765,conflict_001,1,0,0
conflicting_or_unsupported,1,interactive_runtime_acceptance,,1.0,1,1,1,1.0,,,0.0,refuse,refused,seraedit_rule_v1,local_rule,0,0,zh,0.24160000066331122,,1.0,1.0,0,0,74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b,0,refused,0,0.24160000066331122,0.0,experiments/runtime_acceptance_host_roundtrip_scope_v2_20260826/raw_outputs/conflict_001__zh__r1.json,1,0,0,0,0,1,local_first,conflict_001:zh:r1,1,2,d07935fefb9eb378b16d51bcd1510040077a17127c632f31657c65ebe9093765,conflict_001,1,0,0
conflicting_or_unsupported,1,interactive_runtime_acceptance,,1.0,1,1,1,1.0,,,0.0,refuse,refused,seraedit_rule_v1,local_rule,0,0,en,0.17390000084560597,,1.0,1.0,0,0,74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b,0,refused,0,0.17390000084560597,0.0,experiments/runtime_acceptance_host_roundtrip_scope_v2_20260826/raw_outputs/conflict_002__en__r1.json,1,0,0,0,0,1,local_first,conflict_002:en:r1,1,2,d07935fefb9eb378b16d51bcd1510040077a17127c632f31657c65ebe9093765,conflict_002,1,0,0
conflicting_or_unsupported,1,interactive_runtime_acceptance,,1.0,1,1,1,1.0,,,0.0,refuse,refused,seraedit_rule_v1,local_rule,0,0,zh,0.3231999999115942,,1.0,1.0,0,0,74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b,0,refused,0,0.3231999999115942,0.0,experiments/runtime_acceptance_host_roundtrip_scope_v2_20260826/raw_outputs/conflict_002__zh__r1.json,1,0,0,0,0,1,local_first,conflict_002:zh:r1,1,2,d07935fefb9eb378b16d51bcd1510040077a17127c632f31657c65ebe9093765,conflict_002,1,0,0
conflicting_or_unsupported,1,interactive_runtime_acceptance,,1.0,1,1,1,1.0,,,0.0,refuse,refused,seraedit_rule_v1,local_rule,0,0,en,0.17440000010537915,,1.0,1.0,0,0,74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b,0,refused,0,0.17440000010537915,0.0,experiments/runtime_acceptance_host_roundtrip_scope_v2_20260826/raw_outputs/conflict_003__en__r1.json,1,0,0,0,0,1,local_first,conflict_003:en:r1,1,2,d07935fefb9eb378b16d51bcd1510040077a17127c632f31657c65ebe9093765,conflict_003,1,0,0
conflicting_or_unsupported,1,interactive_runtime_acceptance,,1.0,1,1,1,1.0,,,0.0,refuse,refused,seraedit_rule_v1,local_rule,0,0,zh,0.3255000001445296,,1.0,1.0,0,0,74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b,0,refused,0,0.3255000001445296,0.0,experiments/runtime_acceptance_host_roundtrip_scope_v2_20260826/raw_outputs/conflict_003__zh__r1.json,1,0,0,0,0,1,local_first,conflict_003:zh:r1,1,2,d07935fefb9eb378b16d51bcd1510040077a17127c632f31657c65ebe9093765,conflict_003,1,0,0
conflicting_or_unsupported,1,interactive_runtime_acceptance,,1.0,1,1,1,1.0,,,0.0,refuse,refused,seraedit_rule_v1,local_rule,0,0,en,0.19260000044596381,,1.0,1.0,0,0,74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b,0,refused,0,0.19260000044596381,0.0,experiments/runtime_acceptance_host_roundtrip_scope_v2_20260826/raw_outputs/conflict_004__en__r1.json,1,0,0,0,0,1,local_first,conflict_004:en:r1,1,2,d07935fefb9eb378b16d51bcd1510040077a17127c632f31657c65ebe9093765,conflict_004,1,0,0
conflicting_or_unsupported,1,interactive_runtime_acceptance,,1.0,1,1,1,1.0,,,0.0,refuse,refused,seraedit_rule_v1,local_rule,0,0,zh,0.3032000004168367,,1.0,1.0,0,0,74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b,0,refused,0,0.3032000004168367,0.0,experiments/runtime_acceptance_host_roundtrip_scope_v2_20260826/raw_outputs/conflict_004__zh__r1.json,1,0,0,0,0,1,local_first,conflict_004:zh:r1,1,2,d07935fefb9eb378b16d51bcd1510040077a17127c632f31657c65ebe9093765,conflict_004,1,0,0
conflicting_or_unsupported,1,interactive_runtime_acceptance,,1.0,1,1,1,1.0,,,0.0,refuse,refused,seraedit_rule_v1,local_rule,0,0,en,0.17250000018975697,,1.0,1.0,0,0,74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b,0,refused,0,0.17250000018975697,0.0,experiments/runtime_acceptance_host_roundtrip_scope_v2_20260826/raw_outputs/conflict_005__en__r1.json,1,0,0,0,0,1,local_first,conflict_005:en:r1,1,2,d07935fefb9eb378b16d51bcd1510040077a17127c632f31657c65ebe9093765,conflict_005,1,0,0
conflicting_or_unsupported,1,interactive_runtime_acceptance,,1.0,1,1,1,1.0,,,0.0,refuse,refused,seraedit_rule_v1,local_rule,0,0,zh,0.1874999998108251,,1.0,1.0,0,0,74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b,0,refused,0,0.1874999998108251,0.0,experiments/runtime_acceptance_host_roundtrip_scope_v2_20260826/raw_outputs/conflict_005__zh__r1.json,1,0,0,0,0,1,local_first,conflict_005:zh:r1,1,2,d07935fefb9eb378b16d51bcd1510040077a17127c632f31657c65ebe9093765,conflict_005,1,0,0
dynamics_articulation,1,interactive_runtime_acceptance,,1.0,3,3,0,1.0,,,0.0,success,generated,seraedit_rule_v1,local_rule,1,0,en,199.2049999998926,1,1.0,1.0,1,0,8222242f53a978d7455ad6c2cd6f112e52872a6046857e52e8e60e861eee337f,1,2a612e3a5121d2a22d612ac2ba1410110e2aca0847126e17b0c302eb7572292a,1,199.2049999998926,0.0,experiments/runtime_acceptance_host_roundtrip_scope_v2_20260826/raw_outputs/dynamics_001__en__r1.json,0,0,0,0,0,1,local_first,dynamics_001:en:r1,1,2,55c844743cb17f21887e894482866f7c9e986d5f79adedebe38607424f68c0b2,dynamics_001,1,1,0
dynamics_articulation,1,interactive_runtime_acceptance,,1.0,3,3,0,1.0,,,0.0,success,generated,seraedit_rule_v1,local_rule,1,0,zh,34.048299999994924,1,1.0,1.0,1,0,4508d018c78893946c1c09cef972c9e75345123879faa5d48d3c5266d92bcced,1,2a612e3a5121d2a22d612ac2ba1410110e2aca0847126e17b0c302eb7572292a,1,34.048299999994924,0.0,experiments/runtime_acceptance_host_roundtrip_scope_v2_20260826/raw_outputs/dynamics_001__zh__r1.json,0,0,0,0,0,1,local_first,dynamics_001:zh:r1,1,2,55c844743cb17f21887e894482866f7c9e986d5f79adedebe38607424f68c0b2,dynamics_001,1,1,0
dynamics_articulation,1,interactive_runtime_acceptance,,1.0,2,2,0,1.0,,,0.0,success,generated,seraedit_rule_v1,local_rule,1,0,en,33.03109999978915,1,1.0,1.0,1,0,58f9b8f0e3f7005c023e8604583105da48017e04996c2997fca9aeb16b9dea04,1,12c7072ac5c72fcc914e9c157718d6b4eca28a3540aa374fcf98ff7e44a3d604,1,33.03109999978915,0.0,experiments/runtime_acceptance_host_roundtrip_scope_v2_20260826/raw_outputs/dynamics_002__en__r1.json,0,0,0,0,0,1,local_first,dynamics_002:en:r1,1,2,55c844743cb17f21887e894482866f7c9e986d5f79adedebe38607424f68c0b2,dynamics_002,1,1,0
dynamics_articulation,1,interactive_runtime_acceptance,,1.0,2,2,0,1.0,,,0.0,success,generated,seraedit_rule_v1,local_rule,1,0,zh,33.55759999976726,1,1.0,1.0,1,0,cea59e24cf8bfdda709e1515bc2e444bbe05a9de2e89ae41521ffde716c47655,1,12c7072ac5c72fcc914e9c157718d6b4eca28a3540aa374fcf98ff7e44a3d604,1,33.55759999976726,0.0,experiments/runtime_acceptance_host_roundtrip_scope_v2_20260826/raw_outputs/dynamics_002__zh__r1.json,0,0,0,0,0,1,local_first,dynamics_002:zh:r1,1,2,55c844743cb17f21887e894482866f7c9e986d5f79adedebe38607424f68c0b2,dynamics_002,1,1,0
dynamics_articulation,1,interactive_runtime_acceptance,,1.0,2,2,0,1.0,,,0.0,success,generated,seraedit_rule_v1,local_rule,1,0,en,35.586800000601215,1,1.0,1.0,1,0,93b9978981ac4f2856c6efe472452ac3f83e7fd1ada0b625f7845ddb50bf663a,1,5424444ca52da1816321f3877f7342ed9630988e8895dbd1fd1cde36da53705f,1,35.586800000601215,0.0,experiments/runtime_acceptance_host_roundtrip_scope_v2_20260826/raw_outputs/dynamics_003__en__r1.json,0,0,0,0,0,1,local_first,dynamics_003:en:r1,1,2,55c844743cb17f21887e894482866f7c9e986d5f79adedebe38607424f68c0b2,dynamics_003,1,1,0
dynamics_articulation,1,interactive_runtime_acceptance,,1.0,2,2,0,1.0,,,0.0,success,generated,seraedit_rule_v1,local_rule,1,0,zh,34.00099999998929,1,1.0,1.0,1,0,3933f971f4d098ba6c0412261a739e996540d15ab1f61a6b17a8bc80bc3aeb6c,1,5424444ca52da1816321f3877f7342ed9630988e8895dbd1fd1cde36da53705f,1,34.00099999998929,0.0,experiments/runtime_acceptance_host_roundtrip_scope_v2_20260826/raw_outputs/dynamics_003__zh__r1.json,0,0,0,0,0,1,local_first,dynamics_003:zh:r1,1,2,55c844743cb17f21887e894482866f7c9e986d5f79adedebe38607424f68c0b2,dynamics_003,1,1,0
dynamics_articulation,1,interactive_runtime_acceptance,,1.0,2,2,0,1.0,,,0.0,success,generated,seraedit_rule_v1,local_rule,1,0,en,38.173099999767146,1,1.0,1.0,1,0,c2b0c60f0c756cac5cfff99fed36f9edd4bb2fda10890f2dd18874fa98d71fba,1,33aef15ab81a8d81d67a8e6edd1cf661a8035838603b443f042c3ef5025498e5,1,38.173099999767146,0.0,experiments/runtime_acceptance_host_roundtrip_scope_v2_20260826/raw_outputs/dynamics_004__en__r1.json,0,0,0,0,0,1,local_first,dynamics_004:en:r1,1,2,55c844743cb17f21887e894482866f7c9e986d5f79adedebe38607424f68c0b2,dynamics_004,1,1,0
dynamics_articulation,1,interactive_runtime_acceptance,,1.0,2,2,0,1.0,,,0.0,success,generated,seraedit_rule_v1,local_rule,1,0,zh,39.11240000070393,1,1.0,1.0,1,0,bd1c45ad74163a8e7fbfe4660bfe246b763ab16d9864e0b38a9bca138cc80e7c,1,33aef15ab81a8d81d67a8e6edd1cf661a8035838603b443f042c3ef5025498e5,1,39.11240000070393,0.0,experiments/runtime_acceptance_host_roundtrip_scope_v2_20260826/raw_outputs/dynamics_004__zh__r1.json,0,0,0,0,0,1,local_first,dynamics_004:zh:r1,1,2,55c844743cb17f21887e894482866f7c9e986d5f79adedebe38607424f68c0b2,dynamics_004,1,1,0
dynamics_articulation,1,interactive_runtime_acceptance,,1.0,2,2,0,1.0,,,0.0,success,generated,seraedit_rule_v1,local_rule,1,0,en,33.52240000003803,1,1.0,1.0,1,0,0a88f8a6954851053bcd0fa61176fda2b00e1bbd1c7831951cbbb7f303de5edf,1,594dc3e8355216d4a675dc67c34527867f47c78291b22d3e9dea48bc8934451c,1,33.52240000003803,0.0,experiments/runtime_acceptance_host_roundtrip_scope_v2_20260826/raw_outputs/dynamics_005__en__r1.json,0,0,0,0,0,1,local_first,dynamics_005:en:r1,1,2,55c844743cb17f21887e894482866f7c9e986d5f79adedebe38607424f68c0b2,dynamics_005,1,1,0
dynamics_articulation,1,interactive_runtime_acceptance,,1.0,2,2,0,1.0,,,0.0,success,generated,seraedit_rule_v1,local_rule,1,0,zh,40.15440000057424,1,1.0,1.0,1,0,39c43fe4d723386362d6d2391fd05f4b68d2ef5fd9ac881b74f348a17f4ed2e1,1,594dc3e8355216d4a675dc67c34527867f47c78291b22d3e9dea48bc8934451c,1,40.15440000057424,0.0,experiments/runtime_acceptance_host_roundtrip_scope_v2_20260826/raw_outputs/dynamics_005__zh__r1.json,0,0,0,0,0,1,local_first,dynamics_005:zh:r1,1,2,55c844743cb17f21887e894482866f7c9e986d5f79adedebe38607424f68c0b2,dynamics_005,1,1,0
insertion_deletion,1,interactive_runtime_acceptance,,1.0,2,2,0,1.0,,,0.0,success,generated,seraedit_rule_v1,local_rule,1,0,en,34.52780000043276,1,1.0,1.0,1,0,df86693c7e0f5e7b2e2272f24ffe3be0dcc343e62b26a7b7b636c32a57cd3637,1,d1b2ca79b4f02d8afd396ccfab56b2d19c89c6f3a4a03446a553a4b1db0e49dd,1,34.52780000043276,0.0,experiments/runtime_acceptance_host_roundtrip_scope_v2_20260826/raw_outputs/insertion_001__en__r1.json,0,0,0,0,0,1,local_first,insertion_001:en:r1,1,1,b28e2e256a5d305149719d426960304760429ce5b5e0acef6114af3fd6995b4c,insertion_001,1,1,0
