ecosystem,name,version,license,source
python,fastapi,0.138.1,MIT,active virtual environment
python,uvicorn,0.49.0,BSD-3-Clause,active virtual environment
python,pydantic,2.13.4,MIT,active virtual environment
python,python-dotenv,1.2.2,BSD-3-Clause,active virtual environment
python,requests,2.34.2,Apache-2.0,active virtual environment
python,pytest,9.1.1,MIT,active virtual environment
python,PyYAML,6.0.3,MIT,active virtual environment
python,httpx2,2.5.0,BSD-3-Clause,active virtual environment
python,pyinstaller,6.21.0,GPLv2-or-later with a special exception which allows to use PyInstaller to build and distribute non-free programs (including commercial ones),active virtual environment
python,music21,10.5.0,BSD-3-Clause,active virtual environment
python,mido,1.3.3,MIT,active virtual environment
python,pretty_midi,0.2.11,MIT,active virtual environment
python,partitura,1.9.0,Apache 2.0,active virtual environment
python,python-docx,1.2.0,MIT,active virtual environment
npm,react,18.3.1,MIT,frontend\node_modules\react\package.json
npm,react-dom,18.3.1,MIT,frontend\node_modules\react-dom\package.json
npm,vite,8.1.0,MIT,frontend\node_modules\vite\package.json
npm,vexflow,5.0.0,MIT,frontend\node_modules\vexflow\package.json
npm,opensheetmusicdisplay,2.0.0,BSD-3-Clause,frontend\node_modules\opensheetmusicdisplay\package.json
npm,electron,39.8.10,MIT,electron\node_modules\electron\package.json
npm,electron-builder,26.15.3,MIT,electron\node_modules\electron-builder\package.json
