error_code,name,default_stage,occurrences,primary_occurrences
E01,malformed_xml,roundtrip,0,0
E02,musicxml_parse_failure,roundtrip,0,0
E03,malformed_patch_json,parse,0,0
E04,patch_schema_failure,schema,0,0
E05,invalid_selector,structural,0,0
E06,missing_event,structural,0,0
E07,duration_mismatch,duration,0,0
E08,voice_collision,notation,0,0
E09,broken_tie,notation,0,0
E10,broken_slur,notation,0,0
E11,protected_scope_violation,protected_scope,0,0
E12,unintended_pitch_change,semantic,0,0
E13,unintended_duration_change,semantic,0,0
E14,unintended_notation_change,roundtrip_fidelity,0,0
E15,incomplete_instruction_execution,semantic,0,0
E16,over_editing,metrics,0,0
E17,hallucinated_measure_or_voice,structural,0,0
E18,conflicting_instruction_not_refused,refusal,0,0
E19,unsupported_operation,schema,0,0
E20,timeout_or_provider_error,provider,0,0
